type,status
Remove unused variables/functions,tp
Remove unused variables/functions,tp
Declare immutable,tp
Declare immutable,tp
Declare immutable,tp
Declare immutable,tp
Cache re-reading state variables,fp
Cache re-reading state variables,tp
Cache re-reading state variables,fp
Cache re-reading state variables,fp
Cache re-reading state variables,tp
Cache re-reading state variables,fp
Cache re-reading state variables,tp
Cache re-reading state variables,fp
Cache re-reading state variables,fp
Cache array length pre-loop,tp
Cache array length pre-loop,tp
Cache array length pre-loop,tp
Cache array length pre-loop,tp
Cache array length pre-loop,tp
Cache array length pre-loop,tp
Cache array length pre-loop,tp
Cache array length pre-loop,tp
Cache array length pre-loop,tp
Cache array length pre-loop,tp
Cache array length pre-loop,tp
Using unchecked blocks,tp
Using unchecked blocks,tp
Using unchecked blocks,tp
Using unchecked blocks,tp
Using unchecked blocks,tp
Using unchecked blocks,tp
Using unchecked blocks,tp
Using unchecked blocks,tp
Using unchecked blocks,tp
Using unchecked blocks,tp
Using unchecked blocks,tp
Splitting require statements,tp
Splitting require statements,tp
Using private for constants,tp
Using private for constants,tp
Using private for constants,tp
Use custom errors,tp
Use custom errors,tp
Use custom errors,tp
Use custom errors,tp
Use custom errors,tp
Use custom errors,tp
Use custom errors,tp
Use custom errors,tp
Use custom errors,tp
Mark revert functions payable,tp
Mark revert functions payable,tp
Mark revert functions payable,tp
Mark revert functions payable,tp
Mark revert functions payable,tp
Mark revert functions payable,tp
Mark revert functions payable,tp
Mark revert functions payable,tp
Mark revert functions payable,tp
Use bitwise shifts,tp
Use bitwise shifts,tp
Use bitwise shifts,tp
Use bitwise shifts,tp
Use bitwise shifts,tp
Remove unused variables/functions,fp
Use != 0 instead of > 0 for unsigned integer comparison,fp
Use != 0 instead of > 0 for unsigned integer comparison,fp
Use != 0 instead of > 0 for unsigned integer comparison,fp
Use != 0 instead of > 0 for unsigned integer comparison,fp
Check value before state update,tp
Check value before state update,tp
Check value before state update,tp
Check value before state update,tp
Check value before state update,tp
Check value before state update,tp
Check value before state update,tp
Check value before state update,tp
Check value before state update,tp
Check value before state update,tp
Check value before state update,tp
Check value before state update,tp
Use = over +=,tp
Use = over +=,tp
Use = over +=,tp
Use = over +=,tp
Use = over +=,fp
Use = over +=,fp
Use = over +=,fp
Use = over +=,fp
Use = over +=,fp
Use = over +=,fp
Use = over +=,fp
Use = over +=,fp
Use = over +=,fp
Use = over +=,fp
Use = over +=,fp
Use = over +=,fp
Use = over +=,tp
Use = over +=,tp
Use = over +=,tp
Use = over +=,tp
Optimize bool variables,tp
Optimize bool variables,tp
Cache array length pre-loop,tp
Cache array length pre-loop,tp
Cache array length pre-loop,tp
Cache array length pre-loop,tp
Mark revert functions payable,tp
Mark revert functions payable,tp
Mark revert functions payable,tp
Mark revert functions payable,tp
Mark revert functions payable,tp
Mark revert functions payable,tp
Mark revert functions payable,tp
Mark revert functions payable,tp
Mark revert functions payable,tp
Mark revert functions payable,tp
Mark revert functions payable,tp
Mark revert functions payable,tp
Mark revert functions payable,tp
Mark revert functions payable,tp
Mark revert functions payable,tp
Mark revert functions payable,tp
Use pre-increment,tp
Use pre-increment,tp
Use != 0 instead of > 0 for unsigned integer comparison,fp
