,file,type,status
20,contracts/core/RdpxV2Core.sol#L103,Remove unused variables/functions,tp
21,contracts/perp-vault/PerpetualAtlanticVaultLP.sol#L52,Remove unused variables/functions,tp
22,contracts/amo/UniV3LiquidityAmo.sol#L82#L85#L88,Declare immutable,tp
23,contracts/perp-vault/PerpetualAtlanticVault.sol,Declare immutable,tp
24,contracts/core/RdpxV2Core.sol#L126,Declare immutable,tp
25,contracts/perp-vault/PerpetualAtlanticVaultLP.sol,Declare immutable,tp
26,contracts/amo/UniV3LiquidityAmo.sol#L193,Cache re-reading state variables,fp
27,contracts/amo/UniV3LiquidityAmo.sol#L253-257,Cache re-reading state variables,tp
28,contracts/amo/UniV3LiquidityAmo.sol#L164,Cache re-reading state variables,fp
29,contracts/amo/UniV3LiquidityAmo.sol#L304,Cache re-reading state variables,fp
30,contracts/amo/UniV3LiquidityAmo.sol#L358-361,Cache re-reading state variables,tp
31,contracts/core/RdpxV2Core.sol#L370,Cache re-reading state variables,fp
32,contracts/core/RdpxV2Core.sol#L343-345,Cache re-reading state variables,tp
33,contracts/core/RdpxV2Core.sol#L549,Cache re-reading state variables,fp
34,contracts/core/RdpxV2Core.sol#L122-123,Cache re-reading state variables,fp
35,contracts/amo/UniV2LiquidityAmo.sol#L147,Cache array length pre-loop,tp
36,contracts/amo/UniV3LiquidityAmo.sol#L120,Cache array length pre-loop,tp
37,contracts/core/RdpxV2Core.sol#L167,Cache array length pre-loop,tp
38,contracts/core/RdpxV2Core.sol#L246,Cache array length pre-loop,tp
39,contracts/core/RdpxV2Core.sol#L775,Cache array length pre-loop,tp
40,contracts/core/RdpxV2Core.sol#L836,Cache array length pre-loop,tp
41,contracts/core/RdpxV2Core.sol#L996,Cache array length pre-loop,tp
42,contracts/decaying-bonds/RdpxDecayingBonds.sol#L103,Cache array length pre-loop,tp
43,contracts/perp-vault/PerpetualAtlanticVault.sol#L225,Cache array length pre-loop,tp
44,contracts/perp-vault/PerpetualAtlanticVault.sol#L328,Cache array length pre-loop,tp
45,contracts/perp-vault/PerpetualAtlanticVault.sol#L413,Cache array length pre-loop,tp
46,contracts/amo/UniV2LiquidityAmo.sol#L147,Using unchecked blocks,tp
47,contracts/amo/UniV3LiquidityAmo.sol#L120,Using unchecked blocks,tp
48,contracts/core/RdpxV2Core.sol#L167,Using unchecked blocks,tp
49,contracts/core/RdpxV2Core.sol#L246,Using unchecked blocks,tp
50,contracts/core/RdpxV2Core.sol#L775,Using unchecked blocks,tp
51,contracts/core/RdpxV2Core.sol#L836,Using unchecked blocks,tp
52,contracts/core/RdpxV2Core.sol#L996,Using unchecked blocks,tp
53,contracts/decaying-bonds/RdpxDecayingBonds.sol#L103,Using unchecked blocks,tp
54,contracts/perp-vault/PerpetualAtlanticVault.sol#L225,Using unchecked blocks,tp
55,contracts/perp-vault/PerpetualAtlanticVault.sol#L328,Using unchecked blocks,tp
56,contracts/perp-vault/PerpetualAtlanticVault.sol#L413,Using unchecked blocks,tp
57,contracts/amo/UniV2LiquidityAmo.sol#L83,Splitting require statements,tp
58,contracts/reLP/ReLPContract.sol#L126,Splitting require statements,tp
59,contracts/amo/UniV2LiquidityAmo.sol,Using private for constants,tp
60,contracts/core/RdpxV2Bond.sol,Using private for constants,tp
61,contracts/perp-vault/PerpetualAtlanticVault.sol,Using private for constants,tp
